source,description,description_clean,unit_clean,quantity,rate,material,grade,thickness_mm,thickness_assumed,emission_factor,ef_unit,ef_source,ef_label,cci,cci_label,cci_outlier,extr_method,prop_grade
Bot,20th floor,20th floor,m3,16.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,21st floor,21st floor,m3,16.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,22nd floor,22nd floor,m3,16.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,23rd floor,23rd floor,m3,16.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,24th floor,24th floor,m3,16.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Terrace floor,terrace floor,m3,826.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Above Terrace,above terrace,m3,140.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Ground floor,ground floor,m3,141.0,,concrete,M50,,False,420.0,kgCO2e/m3,ICE V4.1 Concrete CEM I M50,has_ef,,predict_cci,False,grade_propagation,M50
Bot,Foundation-Stilt,foundation stilt,m3,1353.0,,concrete,M50,,False,420.0,kgCO2e/m3,ICE V4.1 Concrete CEM I M50,has_ef,,predict_cci,False,grade_propagation,M50
Bot,Foundation - Ground floor,foundation ground floor,m3,125.0,,concrete,M40,,False,381.5,kgCO2e/m3,ICE V4.1 Concrete CEM I M40,has_ef,,predict_cci,False,grade_propagation,M40
Bot,Elevation features - Fins/Window Boxing/others etc - all levels,elevation features fins window boxing others etc all levels,m3,1136.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Plinth beams,plinth beams,m2,190.0,,formwork,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,M30
Bot,Sraircase,sraircase,m2,40.0,,formwork,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,M30
Bot,Walls ,walls,m2,180.0,,formwork,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,M30
Bot,Top Slab ,top slab,m2,20.0,,concrete,M30,125.0,True,41.4,kgCO2e/m2,ICE V4.1 Concrete CEM I M30 × 125mm,has_ef,,predict_cci,False,grade_propagation_m2,M30
Bot,Terrace,terrace,m2,2385.0,,formwork,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,M30
