source,description,grade,unit_clean,quantity_m3,ef_baseline,scenario,ggbs_fraction,ef_adjusted,carbon_kgCO2e,premium_inr,saved_per_m3
PA,Twenty Eighth Floor,M30,m3,510.3056650000001,331.2,B_30pct,0.3,251.4,128290.844,32531.99,79.8
PA,Twenty Eighth Floor,M30,m3,510.3056650000001,331.2,C_50pct,0.5,198.2,101142.583,54219.98,133.0
PA,Twenty Ninth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Twenty Ninth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Twenty Ninth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Thirtyeth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Thirtyeth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Thirtyeth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Thirty First Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Thirty First Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Thirty First Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Thirty Second Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Thirty Second Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Thirty Second Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Thirty Three Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Thirty Three Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Thirty Three Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Terrace,M30,m3,465.0986700000001,331.2,A_baseline,0.0,331.2,154040.68,0.0,0.0
